listing_date,sqft,bedrooms,age_years,distance_km,school_score,renovated,sale_price
2024-01-01,2017,4,52,10.3,4.6,0,590621.3
2024-01-01,2168,4,19,6.31,4.2,0,671178.28
2024-01-01,3102,5,66,20.09,4.9,1,831953.77
2024-01-02,3077,5,47,16.97,7.5,0,857162.44
2024-01-02,1369,2,11,0.89,9.7,0,558793.56
2024-01-02,2805,5,73,26.15,5.0,0,684967.51
2024-01-03,2445,4,22,27.34,3.8,0,600432.81
2024-01-03,1663,3,39,4.31,9.5,0,581071.76
2024-01-03,2962,4,44,11.72,9.4,0,832011.7
2024-01-04,3107,4,26,17.23,9.1,0,912663.09
2024-01-04,3006,5,55,5.59,8.8,1,910292.62
2024-01-04,2110,4,60,13.99,7.0,0,610405.12
2024-01-05,667,1,7,24.51,6.2,1,291999.98
2024-01-05,3070,5,73,14.79,6.5,0,783098.21
2024-01-05,2592,3,51,11.07,8.9,0,711503.36
2024-01-06,3150,5,82,24.09,9.0,0,834598.81
2024-01-06,774,1,71,24.16,5.4,1,281712.01
2024-01-06,966,2,76,1.48,7.8,0,353176.02
2024-01-07,2332,4,58,18.41,5.0,0,631985.31
2024-01-07,2257,3,35,21.39,5.0,0,647898.35
2024-01-07,1265,1,58,26.09,4.5,0,292440.25
2024-01-08,2016,3,12,15.38,8.1,0,607249.87
2024-01-08,1314,2,49,19.19,8.2,0,417472.91
2024-01-08,2290,4,22,19.54,6.0,0,655422.45
2024-01-09,1269,2,1,1.09,9.5,0,519218.1
2024-01-09,594,1,50,5.12,5.8,1,290313.19
2024-01-09,2888,5,84,10.99,5.7,0,740165.27
2024-01-10,1332,1,6,11.49,4.0,0,427587.36
2024-01-10,1043,2,58,3.27,5.7,0,363626.72
2024-01-10,1670,2,14,15.21,9.4,0,524362.91
2024-01-11,1195,1,30,20.8,7.3,0,362471.87
2024-01-11,1038,2,73,27.28,7.4,0,333185.87
2024-01-11,1566,3,58,14.57,6.6,1,517018.44
2024-01-12,1038,2,25,23.36,5.1,1,355747.13
2024-01-12,567,1,85,26.87,4.1,0,109206.44
2024-01-12,2159,3,40,14.16,7.1,0,648116.32
2024-01-13,2124,3,15,12.88,9.0,0,697283.66
2024-01-13,2166,3,38,1.11,6.0,0,651890.14
2024-01-13,2734,5,58,13.89,6.7,0,759453.48
2024-01-14,2147,4,23,18.44,7.0,0,653848.39
2024-01-14,822,1,58,6.97,5.3,0,276819.74
2024-01-14,2967,5,19,21.4,4.7,0,782568.84
2024-01-15,1275,2,75,7.17,8.6,0,427769.56
2024-01-15,643,1,55,16.95,9.7,0,274678.17
2024-01-15,1090,2,46,20.89,9.6,0,413979.76
2024-01-16,2130,3,70,9.86,6.1,0,602792.58
2024-01-16,3102,4,73,3.49,7.0,0,840397.9
2024-01-16,558,1,36,17.79,9.8,0,314328.71
2024-01-17,659,2,64,11.84,4.3,1,194848.61
2024-01-17,1480,2,33,19.09,6.9,0,462444.86
2024-01-17,1652,3,54,15.35,4.2,0,452942.67
2024-01-18,2279,4,65,1.85,3.9,0,608405.3
2024-01-18,1848,2,15,21.08,4.7,0,496509.95
2024-01-18,1777,3,43,6.32,6.8,0,540743.83
2024-01-19,2602,4,30,15.16,9.0,0,795712.12
2024-01-19,1945,4,62,23.15,7.3,0,552717.8
2024-01-19,3094,4,45,2.93,5.3,0,838651.58
2024-01-20,1898,3,55,20.7,6.3,0,539478.93
2024-01-20,1877,3,30,3.02,3.6,0,559971.81
2024-01-20,2511,4,67,27.39,6.2,0,624276.4
2024-01-21,1338,3,67,25.75,6.2,0,387774.25
2024-01-21,849,1,38,13.27,4.6,0,272389.62
2024-01-21,1014,2,26,20.7,7.6,1,395272.21
2024-01-22,2224,3,69,15.73,6.1,0,611889.15
2024-01-22,874,2,35,10.26,3.6,0,292733.5
2024-01-22,1713,2,53,6.01,8.8,0,563956.15
2024-01-23,897,1,8,5.71,9.4,0,438084.6
2024-01-23,2754,5,71,23.0,6.7,0,698737.08
2024-01-23,3183,4,54,14.61,9.2,0,919144.51
2024-01-24,904,2,40,27.92,4.6,0,236611.33
2024-01-24,1015,2,23,5.93,9.4,0,429477.41
2024-01-24,2943,5,55,11.66,5.6,0,760696.92
2024-01-25,2100,3,45,23.93,6.1,1,604458.81
2024-01-25,1962,4,14,5.21,4.7,0,597793.63
2024-01-25,1747,3,78,15.68,8.9,0,564924.25
2024-01-26,3165,4,71,25.7,5.2,0,772490.54
2024-01-26,640,1,40,13.43,6.2,0,262449.45
2024-01-26,1876,3,52,7.44,4.2,0,557127.97
2024-01-27,1365,3,76,23.83,4.2,0,337759.28
2024-01-27,2799,4,30,18.36,9.7,0,839801.57
2024-01-27,990,2,30,20.07,9.5,1,428785.61
2024-01-28,1565,3,14,22.28,8.3,0,522913.83
2024-01-28,1352,2,80,17.7,4.0,0,332303.17
2024-01-28,1358,3,30,3.96,3.7,0,438593.7
2024-02-01,1853,2,22,10.5,5.7,0,550231.86
2024-02-01,1944,3,62,7.58,8.2,0,629762.13
2024-02-01,2123,4,6,19.63,4.2,0,586287.69
2024-02-02,2846,4,15,12.24,3.6,0,770623.11
2024-02-02,1458,2,47,12.19,4.5,0,411717.31
2024-02-02,2329,4,45,22.93,7.4,0,676624.44
2024-02-03,2091,4,61,7.04,6.2,0,619943.52
2024-02-03,1811,3,76,2.78,5.0,0,477960.24
2024-02-03,2537,4,1,17.46,4.4,0,739198.97
2024-02-04,2877,5,60,14.85,9.1,0,838885.37
2024-02-04,2581,3,12,26.02,5.0,0,699230.48
2024-02-04,1267,2,2,13.69,8.6,0,477052.98
2024-02-05,813,1,8,1.03,3.7,0,289099.39
2024-02-05,1641,3,28,4.29,8.2,0,591914.79
2024-02-05,906,1,17,9.33,8.9,0,415103.56
2024-02-06,2649,4,52,20.7,8.2,0,755314.15
2024-02-06,2363,4,54,25.45,9.1,0,661210.16
2024-02-06,2673,4,41,21.13,7.5,1,793081.94
2024-02-07,2556,3,26,4.22,6.6,1,783843.55
2024-02-07,1714,3,17,9.25,6.3,0,556613.86
2024-02-07,2882,5,11,24.43,7.0,0,789219.95
2024-02-08,1157,2,30,7.67,4.9,0,379779.63
2024-02-08,1825,3,35,25.78,3.9,0,472697.97
2024-02-08,2758,4,50,1.72,6.6,0,810424.52
2024-02-09,1710,2,26,19.34,6.1,0,473338.98
2024-02-09,689,1,26,4.68,8.7,0,357901.04
2024-02-09,1815,3,24,19.16,8.9,0,600063.68
2024-02-10,1566,2,31,8.3,6.6,0,482920.06
2024-02-10,1531,2,32,14.36,7.5,0,534517.12
2024-02-10,1727,3,25,6.85,3.9,0,532900.93
2024-02-11,3089,4,78,26.71,4.9,0,735673.29
2024-02-11,1261,1,48,25.3,6.6,0,371011.57
2024-02-11,909,1,11,9.98,6.3,0,404270.52
2024-02-12,2454,4,41,23.83,4.7,0,633197.08
2024-02-12,885,2,20,20.13,9.7,0,398319.64
2024-02-12,2179,4,15,7.19,5.2,0,661807.93
2024-02-13,2222,4,85,24.58,4.0,1,543729.26
2024-02-13,2110,4,12,9.61,7.3,0,668927.24
2024-02-13,2301,4,28,0.49,9.0,0,697448.8
2024-02-14,1685,2,39,15.97,5.0,0,498684.54
2024-02-14,2833,4,34,3.47,6.0,0,823335.82
2024-02-14,2137,4,56,26.14,5.7,0,544569.76
2024-02-15,1075,2,11,9.85,6.4,0,413772.91
2024-02-15,1864,4,27,7.34,7.7,0,621759.11
2024-02-15,1681,3,67,14.36,7.6,0,466607.52
2024-02-16,1565,3,81,19.61,9.7,0,512266.37
2024-02-16,922,2,63,15.92,6.8,0,318014.98
2024-02-16,3000,5,24,7.14,9.1,0,917754.34
2024-02-17,1435,3,65,7.67,8.9,0,500307.21
2024-02-17,2735,4,67,20.66,5.6,0,691537.02
2024-02-17,751,2,79,1.11,8.4,0,329773.21
2024-02-18,1785,2,30,14.4,8.2,1,577284.23
2024-02-18,1554,3,76,10.39,6.3,0,457644.68
2024-02-18,2638,4,12,9.88,9.7,1,857944.12
