snapshot_date,tenure_months,logins_30d,support_tickets_30d,monthly_spend,recent_price_rise,churned
2024-01-01,2,5,2,70.57,1,1
2024-01-01,71,17,6,151.15,1,0
2024-01-01,20,6,6,77.93,0,1
2024-01-01,27,31,6,115.52,0,0
2024-01-01,42,23,5,76.53,0,0
2024-01-02,17,27,0,69.42,0,0
2024-01-02,69,35,1,204.55,0,0
2024-01-02,33,35,2,112.75,0,0
2024-01-02,4,15,5,88.89,0,0
2024-01-02,18,18,7,66.9,1,1
2024-01-03,57,17,5,117.09,0,0
2024-01-03,58,3,2,175.73,0,0
2024-01-03,5,25,3,36.59,0,0
2024-01-03,62,10,6,169.38,1,0
2024-01-03,65,30,0,124.61,0,0
2024-01-04,69,18,7,171.4,0,0
2024-01-04,54,24,7,101.35,0,0
2024-01-04,60,33,5,147.92,0,1
2024-01-04,56,26,7,102.27,0,0
2024-01-04,30,13,5,75.73,0,0
2024-01-05,57,2,5,170.14,0,0
2024-01-05,10,26,2,91.21,0,0
2024-01-05,14,11,0,76.69,0,0
2024-01-05,15,0,7,87.33,0,1
2024-01-05,0,14,7,69.34,0,1
2024-01-06,66,16,0,157.71,0,0
2024-01-06,39,7,4,64.75,0,0
2024-01-06,51,16,5,128.13,0,0
2024-01-06,51,7,1,135.05,0,1
2024-01-06,34,8,1,98.4,0,0
2024-01-07,67,6,3,148.62,0,0
2024-01-07,59,20,4,99.21,0,0
2024-01-07,68,11,7,143.68,0,0
2024-01-07,14,10,5,97.22,0,1
2024-01-07,6,6,7,40.02,0,0
2024-01-08,31,2,3,107.97,0,0
2024-01-08,71,3,6,153.04,0,0
2024-01-08,28,12,1,43.87,0,0
2024-01-08,60,3,4,213.66,0,0
2024-01-08,30,25,5,87.04,0,0
2024-01-09,54,3,2,127.84,0,0
2024-01-09,5,19,1,93.13,1,0
2024-01-09,62,18,0,132.52,0,0
2024-01-09,61,2,7,146.59,1,1
2024-01-09,47,9,3,83.49,0,0
2024-01-10,21,16,1,57.75,0,0
2024-01-10,47,10,6,51.82,0,1
2024-01-10,44,23,6,148.47,0,0
2024-01-10,41,17,2,84.11,0,0
2024-01-10,40,3,3,107.23,0,1
2024-01-11,46,20,2,109.2,0,0
2024-01-11,13,17,0,92.37,0,0
2024-01-11,60,3,0,104.04,1,0
2024-01-11,52,22,1,101.56,0,0
2024-01-11,11,4,6,99.83,0,0
2024-01-12,40,27,5,87.47,0,1
2024-01-12,19,33,3,63.56,0,0
2024-01-12,30,28,3,62.88,0,1
2024-01-12,59,25,2,172.87,0,0
2024-01-12,26,31,7,102.02,1,1
2024-01-13,38,11,0,130.48,0,0
2024-01-13,44,0,4,81.12,0,1
2024-01-13,2,20,3,65.04,0,0
2024-01-13,68,33,7,113.9,0,0
2024-01-13,20,22,6,76.75,0,1
2024-01-14,60,6,6,142.79,1,1
2024-01-14,69,0,5,200.98,1,1
2024-01-14,21,30,4,70.43,0,0
2024-01-14,55,35,6,150.64,0,0
2024-01-14,63,34,3,141.37,0,0
2024-01-15,46,20,7,137.61,0,0
2024-01-15,60,12,1,171.86,0,0
2024-01-15,28,2,6,96.95,1,0
2024-01-15,46,7,6,141.65,0,0
2024-01-15,48,26,7,175.15,0,0
2024-01-16,46,12,3,161.88,0,0
2024-01-16,67,13,1,177.7,0,0
2024-01-16,0,7,3,47.9,1,1
2024-01-16,72,5,2,166.83,0,0
2024-01-16,39,1,2,112.53,0,0
2024-01-17,11,16,5,32.71,0,1
2024-01-17,61,22,6,146.73,0,0
2024-01-17,8,6,7,48.49,0,0
2024-01-17,50,22,0,188.81,0,0
2024-01-17,30,6,7,81.68,0,0
2024-01-18,16,31,3,96.17,1,0
2024-01-18,67,6,1,136.67,1,0
2024-01-18,14,19,7,59.31,0,1
2024-01-18,54,20,4,161.63,0,0
2024-01-18,12,7,1,63.02,0,1
2024-01-19,57,9,3,159.0,0,0
2024-01-19,58,23,3,174.86,1,0
2024-01-19,50,35,0,108.1,0,0
2024-01-19,10,28,3,101.09,0,0
2024-01-19,0,10,4,101.96,0,1
2024-01-20,11,24,4,68.21,1,0
2024-01-20,5,12,0,49.3,0,0
2024-01-20,33,35,5,131.25,0,0
2024-01-20,29,8,1,77.08,0,0
2024-01-20,17,25,4,126.88,0,0
2024-01-21,47,14,5,143.23,0,0
2024-01-21,8,6,2,79.85,0,0
2024-01-21,64,7,4,160.39,0,0
2024-01-21,16,22,7,77.39,0,1
2024-01-21,14,12,2,76.51,0,0
2024-01-22,11,23,3,65.79,0,0
2024-01-22,62,28,2,114.48,0,0
2024-01-22,34,5,6,127.23,0,0
2024-01-22,51,26,5,112.53,0,0
2024-01-22,58,3,2,121.64,0,0
2024-01-23,71,30,7,175.42,0,0
2024-01-23,33,23,6,115.92,0,0
2024-01-23,17,22,0,78.08,0,0
2024-01-23,1,16,3,51.81,0,1
2024-01-23,3,28,1,55.56,0,0
2024-01-24,67,17,5,167.21,0,0
2024-01-24,50,14,5,82.51,0,0
2024-01-24,70,29,3,179.7,0,0
2024-01-24,52,29,3,107.96,0,0
2024-01-24,2,16,3,75.36,0,0
2024-01-25,13,4,2,48.66,1,1
2024-01-25,40,13,6,101.35,0,0
2024-01-25,70,7,2,185.39,0,1
2024-01-25,52,2,3,159.6,1,0
2024-01-25,69,16,5,171.03,0,0
2024-01-26,49,20,2,137.32,0,0
2024-01-26,30,30,3,81.51,1,0
2024-01-26,32,31,6,61.15,0,0
2024-01-26,45,35,5,116.57,0,0
2024-01-26,58,11,0,164.76,0,0
2024-01-27,70,16,5,170.77,0,0
2024-01-27,64,30,4,143.63,0,0
2024-01-27,51,25,6,134.86,0,0
2024-01-27,26,24,3,85.49,1,1
2024-01-27,3,8,4,49.18,0,1
2024-01-28,56,20,6,78.31,0,0
2024-01-28,64,15,0,158.37,0,0
2024-01-28,58,3,4,110.28,0,0
2024-01-28,12,26,2,90.06,0,0
2024-01-28,2,3,7,78.93,1,1
2024-02-01,32,11,2,85.71,0,1
2024-02-01,39,1,7,98.97,0,0
2024-02-01,12,24,0,55.47,1,0
2024-02-01,12,22,4,60.9,1,0
2024-02-01,35,15,3,123.25,0,0
2024-02-02,52,10,2,99.92,0,0
2024-02-02,20,6,6,79.52,0,0
2024-02-02,13,35,2,55.67,0,0
2024-02-02,62,12,3,174.27,0,0
2024-02-02,13,5,4,35.22,0,1
2024-02-03,3,34,3,75.83,0,0
2024-02-03,54,9,1,152.08,0,0
2024-02-03,25,5,0,46.63,0,0
2024-02-03,58,18,3,159.51,0,0
2024-02-03,13,21,0,116.97,0,0
2024-02-04,17,13,7,92.07,0,0
2024-02-04,2,13,2,65.31,0,0
2024-02-04,9,2,3,83.07,0,0
2024-02-04,21,0,2,128.07,0,0
2024-02-04,45,30,3,83.59,0,0
2024-02-05,30,13,5,91.36,0,0
2024-02-05,34,27,4,88.95,0,0
2024-02-05,1,30,6,44.86,0,1
2024-02-05,19,31,4,83.57,0,0
