event_time,amount,transactions_1h,billing_country_matches,card_age_days,hour_utc,is_fraud
2024-01-01T00:00:00,25.08,3,0,1207,0,0
2024-01-01T01:00:00,31.59,8,1,301,1,0
2024-01-01T02:00:00,69.45,7,1,104,2,0
2024-01-01T03:00:00,173.48,5,1,1022,3,0
2024-01-01T04:00:00,311.18,11,1,886,4,0
2024-01-01T05:00:00,26.72,5,1,421,5,0
2024-01-01T06:00:00,13.11,1,1,1059,6,0
2024-01-01T07:00:00,871.7,9,1,1064,7,0
2024-01-01T08:00:00,107.2,3,1,1513,8,0
2024-01-01T09:00:00,9.22,12,1,1260,9,0
2024-01-01T10:00:00,917.86,10,1,64,10,0
2024-01-01T11:00:00,50.43,8,1,1084,11,0
2024-01-01T12:00:00,593.99,4,1,2000,12,0
2024-01-01T13:00:00,113.1,2,1,1842,13,0
2024-01-01T14:00:00,279.34,9,1,1952,14,0
2024-01-01T15:00:00,14.24,2,1,1475,15,0
2024-01-01T16:00:00,21.22,3,1,1652,16,0
2024-01-01T17:00:00,51.08,4,1,2088,17,0
2024-01-01T18:00:00,129.37,7,1,259,18,0
2024-01-01T19:00:00,987.7,5,1,217,19,0
2024-01-01T20:00:00,9.96,1,1,645,20,0
2024-01-01T21:00:00,122.7,4,1,1056,21,0
2024-01-01T22:00:00,80.31,12,1,1506,22,0
2024-01-01T23:00:00,570.12,9,1,777,23,0
2024-01-02T00:00:00,208.78,11,1,1276,0,0
2024-01-02T01:00:00,16.79,1,1,192,1,0
2024-01-02T02:00:00,326.44,6,1,933,2,0
2024-01-02T03:00:00,55.57,1,1,2045,3,0
2024-01-02T04:00:00,961.61,11,1,2333,4,0
2024-01-02T05:00:00,238.07,7,1,1315,5,0
2024-01-02T06:00:00,91.88,11,0,1494,6,0
2024-01-02T07:00:00,175.61,12,1,1782,7,0
2024-01-02T08:00:00,889.36,3,0,2075,8,0
2024-01-02T09:00:00,371.14,10,1,1802,9,0
2024-01-02T10:00:00,46.33,7,1,1352,10,0
2024-01-02T11:00:00,18.82,7,0,1632,11,0
2024-01-02T12:00:00,897.83,7,1,1169,12,0
2024-01-02T13:00:00,325.59,2,1,1369,13,0
2024-01-02T14:00:00,306.31,8,1,2366,14,0
2024-01-02T15:00:00,207.91,8,1,411,15,0
2024-01-02T16:00:00,71.08,8,1,2442,16,0
2024-01-02T17:00:00,76.25,10,1,1559,17,0
2024-01-02T18:00:00,12.0,1,1,1034,18,0
2024-01-02T19:00:00,112.63,3,1,1753,19,0
2024-01-02T20:00:00,692.93,8,1,2465,20,0
2024-01-02T21:00:00,248.6,5,1,1747,21,0
2024-01-02T22:00:00,26.36,12,1,736,22,0
2024-01-02T23:00:00,169.17,4,1,2128,23,0
2024-01-03T00:00:00,638.13,1,1,1201,0,0
2024-01-03T01:00:00,12.95,2,1,2,1,0
2024-01-03T02:00:00,14.88,12,1,1934,2,0
2024-01-03T03:00:00,281.43,10,0,674,3,0
2024-01-03T04:00:00,28.15,11,1,1779,4,0
2024-01-03T05:00:00,319.33,3,1,1227,5,0
2024-01-03T06:00:00,441.37,4,1,2327,6,0
2024-01-03T07:00:00,12.77,10,1,1892,7,0
2024-01-03T08:00:00,99.32,5,1,613,8,0
2024-01-03T09:00:00,441.08,5,1,923,9,0
2024-01-03T10:00:00,885.81,11,1,1776,10,0
2024-01-03T11:00:00,115.08,2,0,2282,11,0
2024-01-03T12:00:00,517.18,2,1,1128,12,0
2024-01-03T13:00:00,106.63,2,1,1892,13,0
2024-01-03T14:00:00,84.23,12,1,1105,14,0
2024-01-03T15:00:00,13.43,9,1,1653,15,0
