ds,day_of_week,promotion,holiday,temperature_c,units
2024-01-01,0,0,1,9.6,67
2024-01-02,1,1,1,13.0,110
2024-01-03,2,0,0,14.0,105
2024-01-04,3,0,0,13.2,88
2024-01-05,4,1,0,16.6,100
2024-01-06,5,1,0,14.4,81
2024-01-07,6,0,0,19.0,73
2024-01-08,0,0,0,15.6,97
2024-01-09,1,0,0,17.6,97
2024-01-10,2,1,0,15.7,121
2024-01-11,3,1,0,18.1,124
2024-01-12,4,0,0,16.4,67
2024-01-13,5,0,0,18.3,74
2024-01-14,6,0,0,20.0,75
2024-01-15,0,0,0,15.0,79
2024-01-16,1,0,0,17.1,89
2024-01-17,2,0,0,18.9,99
2024-01-18,3,0,0,18.3,84
2024-01-19,4,1,0,19.5,112
2024-01-20,5,0,0,14.8,79
2024-01-21,6,0,0,18.6,72
2024-01-22,0,0,0,20.2,82
2024-01-23,1,0,0,18.3,92
2024-01-24,2,0,0,21.2,110
2024-01-25,3,0,0,20.4,94
2024-01-26,4,1,0,19.3,104
2024-01-27,5,0,0,17.2,80
2024-01-28,6,0,0,17.4,91
2024-02-01,0,0,0,21.7,97
2024-02-02,1,0,0,20.6,105
2024-02-03,2,1,0,22.0,125
2024-02-04,3,0,0,19.2,100
2024-02-05,4,0,0,20.6,90
2024-02-06,5,0,0,20.4,83
2024-02-07,6,0,0,22.9,92
2024-02-08,0,1,0,20.7,116
2024-02-09,1,0,0,20.1,98
2024-02-10,2,0,0,24.7,126
2024-02-11,3,0,0,20.7,96
2024-02-12,4,0,0,21.0,91
2024-02-13,5,0,0,24.7,60
2024-02-14,6,0,0,24.4,80
2024-02-15,0,0,0,20.8,100
2024-02-16,1,0,0,24.3,111
2024-02-17,2,0,0,25.8,102
2024-02-18,3,0,0,21.1,87
2024-02-19,4,0,0,22.2,90
2024-02-20,5,1,0,23.8,99
2024-02-21,6,0,0,21.8,79
2024-02-22,0,0,0,23.4,92
2024-02-23,1,0,0,20.9,102
2024-02-24,2,0,0,24.8,99
2024-02-25,3,1,0,24.3,123
2024-02-26,4,0,0,23.0,83
2024-02-27,5,0,0,25.7,75
2024-02-28,6,1,0,26.0,108
2024-03-01,0,0,0,23.2,92
2024-03-02,1,0,0,26.5,102
2024-03-03,2,0,0,22.6,110
2024-03-04,3,0,0,22.6,98
2024-03-05,4,0,0,22.9,93
2024-03-06,5,0,0,22.8,81
2024-03-07,6,0,0,25.3,82
2024-03-08,0,1,0,20.4,114
2024-03-09,1,0,0,21.3,109
2024-03-10,2,0,0,25.4,112
2024-03-11,3,0,0,20.5,92
2024-03-12,4,1,0,23.9,113
2024-03-13,5,0,0,24.5,86
2024-03-14,6,0,0,23.9,85
2024-03-15,0,0,0,27.8,103
2024-03-16,1,0,0,24.5,105
2024-03-17,2,0,0,23.8,98
2024-03-18,3,0,0,23.8,109
2024-03-19,4,0,0,24.6,90
2024-03-20,5,1,0,22.6,97
2024-03-21,6,1,0,23.1,109
2024-03-22,0,0,0,24.8,87
2024-03-23,1,0,0,24.4,104
2024-03-24,2,0,0,22.7,117
2024-03-25,3,0,0,22.7,111
2024-03-26,4,0,0,22.2,86
2024-03-27,5,0,0,23.0,79
2024-03-28,6,0,0,18.8,84
2024-04-01,0,0,0,22.4,82
2024-04-02,1,0,0,23.7,114
2024-04-03,2,1,0,23.7,128
2024-04-04,3,0,0,21.6,108
2024-04-05,4,0,0,19.3,82
2024-04-06,5,0,0,23.0,83
2024-04-07,6,0,0,24.4,79
2024-04-08,0,0,1,22.8,86
2024-04-09,1,0,1,19.5,90
2024-04-10,2,0,0,18.5,100
2024-04-11,3,0,0,19.1,102
2024-04-12,4,0,0,20.1,102
2024-04-13,5,0,0,19.8,74
2024-04-14,6,0,0,18.4,72
2024-04-15,0,1,0,20.4,115
2024-04-16,1,0,0,17.2,115
2024-04-17,2,0,0,20.2,106
2024-04-18,3,0,0,20.6,102
2024-04-19,4,0,0,16.2,87
2024-04-20,5,0,0,18.8,70
2024-04-21,6,0,0,14.6,81
2024-04-22,0,0,0,16.0,87
2024-04-23,1,0,0,20.2,105
2024-04-24,2,0,0,16.1,100
2024-04-25,3,1,0,17.0,117
2024-04-26,4,0,0,21.1,85
2024-04-27,5,1,0,15.8,101
2024-04-28,6,0,0,16.5,84
2024-05-01,0,1,0,13.7,116
2024-05-02,1,0,0,15.7,101
2024-05-03,2,0,0,17.2,116
2024-05-04,3,0,0,13.9,100
2024-05-05,4,0,0,17.6,97
2024-05-06,5,0,0,20.7,76
2024-05-07,6,0,0,14.4,76
2024-05-08,0,0,0,15.1,92
2024-05-09,1,0,0,18.5,100
2024-05-10,2,0,0,13.6,115
2024-05-11,3,0,0,14.7,99
2024-05-12,4,1,0,14.0,106
2024-05-13,5,0,0,17.7,86
2024-05-14,6,0,0,16.2,81
2024-05-15,0,0,0,14.7,97
2024-05-16,1,0,0,12.0,103
2024-05-17,2,0,0,15.8,106
2024-05-18,3,1,0,12.1,132
2024-05-19,4,0,0,13.2,90
2024-05-20,5,1,0,10.0,97
2024-05-21,6,0,0,18.0,80
2024-05-22,0,0,0,10.0,72
2024-05-23,1,0,0,9.8,96
2024-05-24,2,0,0,11.2,105
2024-05-25,3,1,0,10.0,121
2024-05-26,4,0,0,9.9,89
2024-05-27,5,1,0,9.9,96
2024-05-28,6,0,0,10.9,71
2024-06-01,0,0,0,10.6,77
2024-06-02,1,0,0,9.6,99
2024-06-03,2,0,0,10.2,106
2024-06-04,3,1,0,13.1,117
2024-06-05,4,0,0,11.1,83
2024-06-06,5,1,0,11.4,101
2024-06-07,6,0,0,8.6,76
2024-06-08,0,0,0,7.4,85
2024-06-09,1,0,0,14.0,97
2024-06-10,2,0,0,8.6,102
2024-06-11,3,0,0,9.2,93
2024-06-12,4,0,0,8.5,82
2024-06-13,5,0,0,12.2,78
2024-06-14,6,0,0,7.3,81
2024-06-15,0,0,0,7.1,70
2024-06-16,1,0,0,8.1,92
2024-06-17,2,1,0,7.4,124
2024-06-18,3,0,0,5.9,92
2024-06-19,4,0,0,8.5,78
2024-06-20,5,0,0,3.5,68
2024-06-21,6,0,0,5.5,98
2024-06-22,0,0,0,5.6,85
2024-06-23,1,1,0,7.9,131
2024-06-24,2,0,0,2.9,96
2024-06-25,3,0,0,9.8,97
2024-06-26,4,0,0,7.3,81
2024-06-27,5,0,0,5.6,68
2024-06-28,6,0,0,7.0,91
2024-07-01,0,0,0,6.3,89
2024-07-02,1,0,0,4.2,114
2024-07-03,2,0,0,4.6,105
2024-07-04,3,0,0,5.7,103
2024-07-05,4,0,0,6.0,93
2024-07-06,5,0,0,3.7,79
2024-07-07,6,0,0,4.2,63
2024-07-08,0,0,0,2.4,79
2024-07-09,1,1,0,3.0,121
2024-07-10,2,0,0,5.7,100
2024-07-11,3,0,0,0.9,103
2024-07-12,4,0,0,9.5,76
2024-07-13,5,0,0,6.3,78
2024-07-14,6,0,0,6.5,84
2024-07-15,0,0,1,5.1,59
2024-07-16,1,0,1,4.5,80
2024-07-17,2,0,0,1.7,104
2024-07-18,3,0,0,3.8,102
2024-07-19,4,0,0,4.4,76
2024-07-20,5,0,0,5.0,73
2024-07-21,6,0,0,4.2,80
2024-07-22,0,0,0,1.8,89
2024-07-23,1,1,0,3.0,116
2024-07-24,2,0,0,4.2,108
2024-07-25,3,0,0,5.6,115
2024-07-26,4,0,0,2.4,87
2024-07-27,5,0,0,-0.2,73
2024-07-28,6,1,0,5.4,94
2024-08-01,0,0,0,0.5,96
2024-08-02,1,1,0,7.3,128
2024-08-03,2,0,0,3.8,101
2024-08-04,3,0,0,1.3,90
2024-08-05,4,0,0,6.1,94
2024-08-06,5,1,0,6.2,101
2024-08-07,6,0,0,4.9,87
2024-08-08,0,0,0,4.0,91
2024-08-09,1,0,0,4.5,104
2024-08-10,2,0,0,2.8,106
2024-08-11,3,0,0,0.4,89
2024-08-12,4,0,0,3.0,67
2024-08-13,5,1,0,5.8,104
2024-08-14,6,1,0,6.6,97
2024-08-15,0,0,0,4.9,110
2024-08-16,1,0,0,8.1,109
2024-08-17,2,0,0,7.9,101
2024-08-18,3,0,0,6.5,87
2024-08-19,4,0,0,5.8,89
2024-08-20,5,0,0,6.6,82
2024-08-21,6,1,0,8.1,94
2024-08-22,0,0,0,5.0,94
2024-08-23,1,1,0,8.2,120
2024-08-24,2,0,0,6.0,109
2024-08-25,3,0,0,4.6,86
2024-08-26,4,0,0,4.8,81
2024-08-27,5,0,0,7.4,80
2024-08-28,6,0,0,8.4,82
2024-09-01,0,0,0,6.6,100
2024-09-02,1,1,0,6.6,128
2024-09-03,2,0,0,5.8,122
2024-09-04,3,0,0,6.6,103
2024-09-05,4,0,0,11.8,91
2024-09-06,5,0,0,9.2,87
2024-09-07,6,0,0,11.5,74
2024-09-08,0,0,0,8.5,94
2024-09-09,1,0,0,10.1,111
2024-09-10,2,0,0,7.7,119
2024-09-11,3,0,0,5.6,84
2024-09-12,4,0,0,9.7,89
2024-09-13,5,0,0,6.8,74
2024-09-14,6,1,0,8.5,108
2024-09-15,0,1,0,11.0,126
2024-09-16,1,0,0,11.3,103
2024-09-17,2,0,0,12.1,119
2024-09-18,3,0,0,7.3,104
2024-09-19,4,0,0,9.7,82
2024-09-20,5,0,0,14.0,94
2024-09-21,6,0,0,9.9,71
2024-09-22,0,0,0,14.7,107
2024-09-23,1,0,0,8.9,112
2024-09-24,2,0,0,12.8,119
2024-09-25,3,0,0,15.7,104
2024-09-26,4,0,0,11.6,95
2024-09-27,5,0,0,14.2,106
2024-09-28,6,1,0,14.2,107
2024-10-01,0,0,0,17.1,93
2024-10-02,1,0,0,14.1,108
2024-10-03,2,0,0,15.3,119
2024-10-04,3,0,0,14.5,109
2024-10-05,4,0,0,15.8,91
2024-10-06,5,0,0,13.9,75
2024-10-07,6,0,0,14.3,94
2024-10-08,0,0,0,15.4,101
2024-10-09,1,0,0,14.6,106
2024-10-10,2,0,0,16.4,118
2024-10-11,3,0,0,16.9,91
2024-10-12,4,1,0,18.2,131
2024-10-13,5,0,0,15.8,83
2024-10-14,6,0,0,15.1,96
2024-10-15,0,0,0,18.2,98
2024-10-16,1,0,0,16.2,112
2024-10-17,2,0,0,21.7,109
2024-10-18,3,0,0,19.3,100
2024-10-19,4,0,0,17.0,90
2024-10-20,5,0,0,15.7,86
2024-10-21,6,0,0,17.5,94
2024-10-22,0,0,1,20.0,91
2024-10-23,1,0,1,19.8,93
2024-10-24,2,0,0,19.1,115
