impression_time,user_id,logged_position,user_affinity,item_quality,price,prior_clicks,clicked
2024-01-01T12:00:00,0,1,-0.036,-0.955,84.56,13,0
2024-01-01T12:00:00,0,2,-0.036,0.961,73.93,12,0
2024-01-01T12:00:00,0,3,-0.036,-0.37,57.41,23,0
2024-01-01T12:00:00,0,4,-0.036,-0.918,58.79,12,0
2024-01-01T12:00:00,0,5,-0.036,-0.111,64.47,31,0
2024-01-01T12:00:00,0,6,-0.036,-0.725,86.29,40,0
2024-01-01T12:00:00,0,7,-0.036,-0.788,65.13,29,0
2024-01-01T12:00:00,0,8,-0.036,-0.815,41.26,10,0
2024-01-01T12:00:00,0,9,-0.036,0.949,117.37,21,0
2024-01-01T12:00:00,0,10,-0.036,-0.536,64.3,10,0
2024-01-01T12:00:00,1,1,-0.871,0.786,20.31,52,1
2024-01-01T12:00:00,1,2,-0.871,-0.622,105.62,1,0
2024-01-01T12:00:00,1,3,-0.871,-0.564,32.87,2,0
2024-01-01T12:00:00,1,4,-0.871,-0.489,106.33,25,0
2024-01-01T12:00:00,1,5,-0.871,0.576,109.5,14,0
2024-01-01T12:00:00,1,6,-0.871,-0.199,35.61,59,0
2024-01-01T12:00:00,1,7,-0.871,-0.615,112.03,41,0
2024-01-01T12:00:00,1,8,-0.871,-0.027,16.74,42,0
2024-01-01T12:00:00,1,9,-0.871,0.539,93.23,13,0
2024-01-01T12:00:00,1,10,-0.871,-0.871,41.53,3,0
2024-01-01T12:00:00,2,1,-0.79,-0.8,61.76,52,0
2024-01-01T12:00:00,2,2,-0.79,-0.115,20.51,51,0
2024-01-01T12:00:00,2,3,-0.79,0.191,116.09,22,0
2024-01-01T12:00:00,2,4,-0.79,0.697,30.64,19,0
2024-01-01T12:00:00,2,5,-0.79,-0.618,31.35,57,0
2024-01-01T12:00:00,2,6,-0.79,0.768,11.95,54,0
2024-01-01T12:00:00,2,7,-0.79,0.547,15.39,49,0
2024-01-01T12:00:00,2,8,-0.79,0.594,93.37,59,0
2024-01-01T12:00:00,2,9,-0.79,-0.998,19.69,7,0
2024-01-01T12:00:00,2,10,-0.79,-0.183,96.15,21,0
2024-01-01T12:00:00,3,1,-0.412,0.65,14.16,53,0
2024-01-01T12:00:00,3,2,-0.412,-0.922,72.67,42,0
2024-01-01T12:00:00,3,3,-0.412,-0.926,51.9,45,0
2024-01-01T12:00:00,3,4,-0.412,-0.91,97.11,51,0
2024-01-01T12:00:00,3,5,-0.412,0.78,111.0,22,0
2024-01-01T12:00:00,3,6,-0.412,0.373,99.51,24,0
2024-01-01T12:00:00,3,7,-0.412,-0.022,16.9,44,0
2024-01-01T12:00:00,3,8,-0.412,-0.355,14.53,8,0
2024-01-01T12:00:00,3,9,-0.412,0.51,47.02,24,0
2024-01-01T12:00:00,3,10,-0.412,-0.465,113.64,52,0
2024-01-01T12:00:00,4,1,0.1,-0.116,118.33,60,0
2024-01-01T12:00:00,4,2,0.1,-0.381,23.32,20,0
2024-01-01T12:00:00,4,3,0.1,-0.185,48.94,16,0
2024-01-01T12:00:00,4,4,0.1,-0.863,50.38,18,0
2024-01-01T12:00:00,4,5,0.1,-0.634,38.54,10,0
2024-01-01T12:00:00,4,6,0.1,-0.301,18.32,14,0
2024-01-01T12:00:00,4,7,0.1,-0.652,99.68,41,0
2024-01-01T12:00:00,4,8,0.1,-0.425,29.3,30,0
2024-01-01T12:00:00,4,9,0.1,0.329,24.78,1,0
2024-01-01T12:00:00,4,10,0.1,-0.207,33.52,35,0
2024-01-01T12:00:00,5,1,0.516,-0.386,28.3,33,1
2024-01-01T12:00:00,5,2,0.516,-0.784,47.53,13,1
2024-01-01T12:00:00,5,3,0.516,0.461,53.49,45,0
2024-01-01T12:00:00,5,4,0.516,-0.22,102.88,2,0
2024-01-01T12:00:00,5,5,0.516,-0.427,25.8,49,0
2024-01-01T12:00:00,5,6,0.516,0.445,87.28,58,0
2024-01-01T12:00:00,5,7,0.516,0.207,64.22,38,0
2024-01-01T12:00:00,5,8,0.516,0.93,70.42,43,1
2024-01-01T12:00:00,5,9,0.516,1.0,35.8,60,0
2024-01-01T12:00:00,5,10,0.516,-0.16,57.9,9,0
2024-01-01T12:00:00,6,1,0.122,-0.298,48.49,27,1
2024-01-01T12:00:00,6,2,0.122,-0.221,29.3,23,0
2024-01-01T12:00:00,6,3,0.122,-0.621,104.79,35,0
2024-01-01T12:00:00,6,4,0.122,-0.385,15.65,40,0
2024-01-01T12:00:00,6,5,0.122,0.742,75.09,57,0
2024-01-01T12:00:00,6,6,0.122,-0.601,47.62,33,0
2024-01-01T12:00:00,6,7,0.122,-0.622,69.36,13,0
2024-01-01T12:00:00,6,8,0.122,-0.383,111.57,11,0
2024-01-01T12:00:00,6,9,0.122,-0.499,88.83,25,0
2024-01-01T12:00:00,6,10,0.122,-0.169,14.14,41,0
2024-01-01T12:00:00,7,1,-0.912,-0.568,15.44,4,0
2024-01-01T12:00:00,7,2,-0.912,0.578,61.19,20,0
2024-01-01T12:00:00,7,3,-0.912,-0.04,18.77,19,0
2024-01-01T12:00:00,7,4,-0.912,0.972,95.16,50,0
2024-01-01T12:00:00,7,5,-0.912,0.502,113.46,29,0
2024-01-01T12:00:00,7,6,-0.912,0.241,60.5,10,0
2024-01-01T12:00:00,7,7,-0.912,0.85,111.92,37,0
2024-01-01T12:00:00,7,8,-0.912,-0.396,78.95,54,0
2024-01-01T12:00:00,7,9,-0.912,-0.207,76.11,6,0
2024-01-01T12:00:00,7,10,-0.912,-0.706,54.14,5,0
2024-01-01T12:00:00,8,1,0.732,-0.929,14.55,32,0
2024-01-01T12:00:00,8,2,0.732,0.88,109.35,9,0
2024-01-01T12:00:00,8,3,0.732,-0.994,95.23,6,0
2024-01-01T12:00:00,8,4,0.732,0.9,88.01,56,1
2024-01-01T12:00:00,8,5,0.732,0.172,44.3,35,1
2024-01-01T12:00:00,8,6,0.732,0.779,50.52,44,0
2024-01-01T12:00:00,8,7,0.732,0.872,47.72,56,1
2024-01-01T12:00:00,8,8,0.732,0.378,110.34,42,0
2024-01-01T12:00:00,8,9,0.732,0.655,50.13,60,0
2024-01-01T12:00:00,8,10,0.732,0.733,78.16,14,0
