event_time,income,utilization,late_payments_12m,loan_amount,defaulted,period
2024-01-01,62529.1,0.337,1,16258.32,0,reference
2024-01-02,53209.03,0.575,0,3481.76,0,reference
2024-01-03,71486.07,0.492,1,18665.61,0,reference
2024-01-04,71208.4,0.176,0,15688.25,0,reference
2024-01-05,57056.49,0.197,0,14040.92,0,reference
2024-01-06,45104.18,0.032,1,18012.69,0,reference
2024-01-07,55286.64,0.01,0,20797.91,0,reference
2024-01-08,61230.31,0.243,0,11429.1,0,reference
2024-01-09,59756.96,0.369,1,11988.69,0,reference
2024-01-10,67312.09,0.377,1,16907.98,0,reference
2024-01-11,44754.51,0.01,1,11980.59,0,reference
2024-01-12,34385.78,0.24,1,12563.66,0,reference
2024-01-13,56682.11,0.255,2,6801.39,0,reference
2024-01-14,63806.41,0.3,1,13489.1,0,reference
2024-01-15,60758.95,0.309,2,8337.19,0,reference
2024-01-16,53514.83,0.27,0,10659.32,0,reference
2024-01-17,74250.9,0.528,1,13593.5,0,reference
2024-01-18,68117.19,0.538,0,6691.96,0,reference
2024-01-19,46353.57,0.548,2,8316.36,0,reference
2024-01-20,79082.62,0.112,1,19920.18,0,reference
2024-01-21,53885.74,0.236,1,7893.28,0,reference
2024-01-22,74506.55,0.01,1,1000,0,reference
2024-01-23,78963.88,0.46,1,16199.81,0,reference
2024-01-24,52683.11,0.518,0,4764.25,0,reference
2024-01-25,92923.47,0.425,1,21449.57,0,reference
2024-01-26,50636.99,0.531,2,7630.61,0,reference
2024-01-27,51250.29,0.212,1,8406.05,0,reference
2024-01-28,70672.53,0.577,1,12224.12,0,reference
2024-02-01,32182.57,0.294,0,15432.33,0,reference
2024-02-02,56320.37,0.466,1,9485.64,0,reference
2024-02-03,46754.99,0.344,2,10350.43,0,reference
2024-02-04,41276.13,0.581,0,4165.8,0,reference
2024-02-05,60104.44,0.393,1,24691.52,0,reference
2024-02-06,69962.67,0.224,0,8200.06,0,reference
2024-02-07,53553.24,0.065,2,3089.45,0,reference
2024-02-08,61227.44,0.117,1,15985.76,0,reference
2024-02-09,51190.83,0.733,2,11015.49,0,reference
2024-02-10,49773.62,0.255,2,17664.2,0,reference
2024-02-11,66658.05,0.498,2,25292.5,0,reference
2024-02-12,70486.56,0.296,2,12550.09,0,reference
2024-02-13,71546.69,0.59,1,15656.2,0,reference
2024-02-14,64777.59,0.361,1,19979.61,0,reference
2024-02-15,47787.62,0.343,1,23779.04,0,reference
2024-02-16,50838.05,0.47,2,3783.7,0,reference
2024-02-17,54740.43,0.451,1,16175.35,0,reference
2024-02-18,68486.5,0.094,0,17324.54,0,reference
2024-02-19,57298.57,0.201,2,14338.9,0,reference
2024-02-20,65699.66,0.567,2,24982.77,0,reference
2024-02-21,67886.76,0.245,0,22820.74,0,reference
2024-02-22,69135.19,0.371,2,17517.71,0,reference
2024-02-23,77955.84,0.377,1,1493.94,0,reference
2024-02-24,38961.33,0.492,2,23446.34,0,reference
2024-02-25,43887.92,0.306,1,14695.38,0,reference
2024-02-26,61403.32,0.384,2,11217.73,0,reference
2024-02-27,44632.57,0.352,1,21185.46,0,reference
2024-02-28,70133.76,0.49,0,13794.42,0,reference
2024-03-01,68060.47,0.131,2,23255.02,0,reference
2024-03-02,55006.43,0.341,0,11831.04,0,reference
2024-03-03,68816.99,0.373,1,12322.67,0,reference
2024-03-04,86726.33,0.31,0,18694.51,0,reference
2024-03-05,31849.32,0.297,1,8231.09,0,reference
2024-03-06,76559.9,0.493,0,16061.09,0,reference
2024-03-07,57002.95,0.532,2,18393.1,0,reference
2024-03-08,42757.85,0.367,2,12740.62,0,reference
2024-03-09,64621.56,0.458,2,12737.15,0,reference
2024-03-10,58100.59,0.215,1,15168.36,0,reference
2024-03-11,61622.93,0.206,0,16432.48,0,reference
2024-03-12,63395.41,0.614,0,13279.09,1,reference
2024-03-13,36865.25,0.369,0,24175.35,0,reference
2024-03-14,47302.64,0.177,0,14792.58,0,reference
2024-03-15,79403.19,0.138,1,23691.17,0,reference
2024-03-16,34656.55,0.255,2,8100.86,0,reference
2024-03-17,50936.15,0.371,0,1000,0,reference
2024-03-18,66399.7,0.198,1,14054.76,0,reference
2024-03-19,53979.16,0.551,1,29862.67,0,reference
2024-03-20,72847.93,0.553,0,25514.79,0,reference
2024-03-21,59827.6,0.333,1,17579.47,0,reference
2024-03-22,52749.52,0.316,0,25279.58,0,reference
2024-03-23,42253.81,0.19,1,5994.54,0,reference
2024-03-24,53414.53,0.395,0,20011.13,0,reference
2024-03-25,57725.18,0.546,0,20440.48,0,reference
2024-03-26,53751.64,0.463,0,5340.43,0,reference
2024-03-27,60498.79,0.203,1,14033.93,0,reference
2024-03-28,38521.32,0.341,1,20690.76,0,reference
2024-04-01,61511.25,0.427,1,14763.78,0,reference
2024-04-02,75000.15,0.318,1,7727.14,0,reference
2024-04-03,64573.83,0.378,2,18668.59,0,reference
2024-04-04,63282.87,0.443,0,21727.17,0,reference
2024-04-05,76445.34,0.35,2,7691.7,0,reference
2024-04-06,47829.04,0.313,2,16932.61,0,reference
2024-04-07,57784.51,0.136,0,1398.33,0,reference
2024-04-08,61484.52,0.568,0,6771.05,0,reference
2024-04-09,37696.0,0.149,1,7745.29,0,reference
2024-04-10,44191.91,0.269,2,19496.79,0,reference
2024-04-11,53377.29,0.247,1,18307.3,0,reference
2024-04-12,58869.75,0.269,0,17102.5,0,reference
2024-04-13,91226.02,0.297,0,4187.52,0,reference
2024-04-14,47779.32,0.158,0,31634.6,0,reference
2024-04-15,56735.55,0.513,0,13342.97,0,reference
2024-04-16,72011.29,0.192,0,16108.62,0,reference
2024-04-17,44767.34,0.324,2,16193.31,0,reference
2024-04-18,68954.6,0.314,1,3092.71,0,reference
2024-04-19,70638.88,0.031,2,23945.96,0,reference
2024-04-20,54302.93,0.116,1,4688.99,0,reference
2024-04-21,40395.92,0.163,1,10950.03,0,reference
2024-04-22,77732.12,0.128,1,10898.97,0,reference
2024-04-23,64350.34,0.203,2,9776.21,0,reference
2024-04-24,48724.15,0.208,1,31270.2,0,reference
2024-04-25,59592.25,0.105,0,18214.2,0,reference
2024-04-26,54732.05,0.323,1,20288.34,0,reference
2024-04-27,71649.06,0.359,0,11801.73,0,reference
2024-04-28,50808.52,0.222,2,7106.81,0,reference
2024-05-01,52718.04,0.442,2,26442.08,1,reference
2024-05-02,45100.57,0.321,2,10943.14,0,reference
2024-05-03,50972.23,0.394,1,22462.33,0,reference
2024-05-04,50820.85,0.198,1,10989.37,0,reference
2024-05-05,42862.98,0.522,1,7978.82,0,reference
2024-05-06,62410.38,0.37,1,12464.41,0,reference
2024-05-07,50406.5,0.169,0,6511.65,0,reference
2024-05-08,43723.37,0.235,0,11033.92,0,reference
2024-05-09,50970.73,0.295,2,21422.21,0,reference
2024-05-10,71519.4,0.233,2,14027.67,0,reference
2024-05-11,52386.53,0.435,1,16232.55,0,reference
2024-05-12,63764.29,0.253,0,17083.29,0,reference
2024-05-13,66878.96,0.272,0,20877.91,0,reference
2024-05-14,45151.71,0.617,0,14769.3,0,reference
2024-05-15,73077.51,0.31,0,8282.05,0,reference
2024-05-16,56971.42,0.472,1,33139.07,0,reference
2024-05-17,57001.49,0.547,2,15772.15,0,reference
2024-05-18,45215.28,0.355,2,12308.13,0,reference
2024-05-19,48915.41,0.131,0,15147.62,0,reference
2024-05-20,71483.98,0.206,2,12680.0,0,reference
2024-05-21,61326.39,0.695,0,15651.68,0,reference
2024-05-22,61228.36,0.433,2,25847.93,1,reference
2024-05-23,70696.03,0.088,1,30388.42,0,reference
2024-05-24,71861.62,0.01,2,18663.62,0,reference
2024-05-25,59683.14,0.449,1,22975.16,1,reference
2024-05-26,58773.21,0.163,0,20811.23,0,reference
2024-05-27,57838.61,0.527,1,11296.6,0,reference
2024-05-28,40033.84,0.462,1,18896.44,0,reference
2024-06-01,46625.24,0.459,0,16431.87,0,reference
2024-06-02,69160.84,0.335,1,13746.21,0,reference
2024-06-03,48347.65,0.01,1,20944.5,0,reference
2024-06-04,58551.9,0.348,0,18417.56,0,reference
2024-06-05,50674.18,0.508,2,6544.01,0,reference
2024-06-06,47704.91,0.316,0,14464.86,0,reference
2024-06-07,49316.21,0.346,0,19580.45,0,reference
2024-06-08,62487.47,0.488,0,22289.58,0,reference
2024-06-09,76689.98,0.44,1,8195.46,0,reference
2024-06-10,60699.57,0.39,2,23530.82,0,reference
2024-06-11,63371.57,0.423,1,8174.84,0,reference
2024-06-12,48756.05,0.378,1,10902.41,0,reference
2024-06-13,36758.51,0.439,0,13223.66,0,reference
2024-06-14,62592.13,0.164,0,12131.52,0,reference
2024-06-15,48615.37,0.219,0,12194.29,0,reference
2024-06-16,72819.02,0.282,0,23794.2,0,reference
2024-06-17,54994.11,0.373,1,7063.59,0,reference
2024-06-18,56255.55,0.523,1,5349.79,1,reference
2024-06-19,59482.6,0.16,0,19916.78,0,reference
2024-06-20,68897.15,0.208,2,6929.28,0,reference
2024-06-21,58181.75,0.529,1,16313.85,0,reference
2024-06-22,51185.97,0.231,0,10112.48,0,reference
2024-06-23,81287.87,0.02,2,19076.79,0,reference
2024-06-24,61495.23,0.187,1,13075.13,0,reference
2024-06-25,39088.09,0.44,1,1000,0,reference
2024-06-26,63482.38,0.313,0,22296.08,0,reference
2024-06-27,81638.36,0.102,2,10616.56,0,reference
2024-06-28,49020.14,0.169,2,6757.29,0,reference
2024-07-01,56926.42,0.239,1,10219.8,0,reference
2024-07-02,47992.9,0.132,2,9016.36,0,reference
2024-07-03,67619.13,0.32,0,3274.86,0,reference
2024-07-04,42439.82,0.335,0,17511.07,0,reference
2024-07-05,48720.98,0.649,0,11473.9,0,reference
2024-07-06,61910.34,0.225,0,12781.73,0,reference
2024-07-07,57762.53,0.341,1,13389.18,0,reference
2024-07-08,91624.0,0.252,1,16718.97,0,reference
2024-07-09,36260.22,0.238,0,14906.14,0,reference
2024-07-10,72214.75,0.315,0,9587.64,0,reference
2024-07-11,69401.43,0.284,0,18456.43,0,reference
2024-07-12,75635.87,0.446,1,17232.03,0,reference
2024-07-13,61220.55,0.503,1,18872.49,0,reference
2024-07-14,65325.97,0.46,0,13154.64,0,reference
2024-07-15,74714.31,0.205,0,19712.21,0,reference
2024-07-16,67513.71,0.447,0,17474.59,0,reference
2024-07-17,61658.69,0.504,0,19982.37,0,reference
2024-07-18,63110.36,0.537,1,7679.88,0,reference
2024-07-19,65537.78,0.01,2,18923.07,0,reference
2024-07-20,67973.93,0.437,2,21652.62,0,reference
2024-07-21,64429.24,0.357,2,15223.68,0,reference
2024-07-22,73144.43,0.299,0,16602.55,0,reference
2024-07-23,66122.68,0.165,2,27497.14,0,reference
2024-07-24,60521.5,0.754,1,18468.72,0,reference
2024-07-25,56375.93,0.302,1,10536.13,0,reference
2024-07-26,76127.36,0.243,2,22913.38,0,reference
2024-07-27,63043.61,0.231,0,9432.62,0,reference
2024-07-28,49742.48,0.08,2,13808.02,0,reference
2024-08-01,91251.88,0.11,2,7891.9,0,reference
2024-08-02,54151.2,0.475,0,22426.56,0,reference
2024-08-03,48826.45,0.59,0,7677.45,0,reference
2024-08-04,75275.33,0.098,2,20790.44,0,reference
2024-08-05,60540.47,0.052,0,15295.53,0,reference
2024-08-06,77038.11,0.461,0,27453.84,0,reference
2024-08-07,51076.73,0.306,1,1000,0,reference
2024-08-08,67038.38,0.148,0,15970.33,0,reference
2024-08-09,35434.3,0.294,0,22063.95,0,reference
2024-08-10,56540.82,0.226,2,5892.81,0,reference
2024-08-11,67317.78,0.483,1,6705.66,1,reference
2024-08-12,55445.77,0.306,1,3594.72,0,reference
2024-08-13,39050.84,0.204,0,17401.11,0,reference
2024-08-14,42647.44,0.301,0,11753.69,0,reference
2024-08-15,53286.47,0.216,1,19493.35,0,reference
